player,pos,fp_id,ecr_2qb,value_2qb
Chris Evans,RB,22797,307.1,8
Tyson Bagent,QB,25321,350.3,3
Justyn Ross,WR,19798,316.7,6
Kyle Trask,QB,19800,351.5,3
Jaren Hall,QB,24073,351.5,3
Kyle Philips,WR,23896,308.8,7
Darrell Henderson Jr.,RB,18588,316.2,6
Adam Trautman,TE,19423,312.1,7
Will Mallory,TE,23821,314,7
Cade Stover,TE,25269,328.7,5
Deon Jackson,RB,20097,321.7,5
Tommy Tremble,TE,22795,319.6,6
Kevin Harris,RB,23117,307.9,8
Carson Wentz,QB,15520,353.2,3
Foster Moreau,TE,18397,314,7
Tommy DeVito,QB,25746,354.4,3
Cooper Rush,QB,16477,354.5,3
Isaiah McKenzie,WR,16604,323.3,5
Craig Reynolds,RB,19074,316.2,6
Clayton Tune,QB,25227,355.2,2
Harrison Bryant,TE,19389,326.1,5
Jake Haener,QB,24728,355.7,2
Mitchell Trubisky,QB,16381,355.7,2
Davis Mills,QB,22799,355.8,2
Tyrion Davis-Price,RB,22992,327.3,5
Russell Gage,WR,17606,313.4,7
Salvon Ahmed,RB,19449,349.5,3
Jamari Thrash,WR,26162,322.6,5
Tanner Hudson,TE,17826,336.9,4
Jordan Travis,QB,25377,357.2,2
Austin Hooper,TE,15581,328.5,5
Richie James Jr.,WR,17303,324.2,5
Blake Watson,RB,26391,335,4
Frank Gore Jr.,RB,25980,343.8,3
C.J. Beathard,QB,16419,358.6,2
Nick Mullens,QB,16726,358.8,2
Cole Turner,TE,23727,330.7,4
Will Dissly,TE,18049,336.6,4
Tim Patrick,WR,16556,335.4,4
Devin Leary,QB,24698,361.1,2
Nelson Agholor,WR,13969,332.9,4
Laviska Shenault Jr.,WR,19221,332.5,4
Albert Okwuegbunam Jr.,TE,18246,338.2,4
Malik Davis,RB,24205,339.4,4
JaMycal Hasty,RB,19627,337.1,4
Mo Alie-Cox,TE,16579,348.3,3
Ty Johnson,RB,18406,343,3
Josh Oliver,TE,18487,342.9,3
Zack Kuntz,TE,25347,348.8,3
Trayveon Williams,RB,18607,344.7,3
Robert Tonyan,TE,16502,349.3,3
Trey Sermon,RB,19425,345.2,3
Stetson Bennett,QB,23927,363.1,2
Erick All,TE,23837,330.6,4
Dillon Johnson,RB,26226,345.6,3
Trevor Siemian,QB,14142,363.4,2
DeeJay Dallas,RB,19521,337.2,4
Boston Scott,RB,17612,338,4
